protein_A,protein_B,score
AAK1,EPS15,0.96
AAK1,ITSN1,0.704
ABCA7,PSEN2,0.803
ABCA7,SORL1,0.841
APOE,ABCA7,0.774
APOE,BACE1,0.785
APOE,CLU,0.999
APOE,MAPT,0.991
APOE,PSEN1,0.956
APOE,PSEN2,0.961
APOE,SORL1,0.997
APOE,TREM2,0.997
APP,APOE,0.999
APP,BACE1,0.999
APP,CLU,0.998
APP,MAPT,0.995
APP,PSEN1,0.999
APP,PSEN2,0.969
APP,SORL1,0.999
APP,TREM2,0.901
BACE1,PSEN1,0.972
BACE1,PSEN2,0.853
BIN1,ABCA7,0.824
BIN1,APOE,0.908
BIN1,APP,0.834
BIN1,CD2AP,0.797
BIN1,CLU,0.955
BIN1,DNM1,0.99
BIN1,EPS15,0.856
BIN1,ITSN1,0.891
BIN1,MAPT,0.941
BIN1,PICALM,0.892
BIN1,SH3GL2,0.855
BIN1,SORL1,0.798
BIN1,SYNJ1,0.994
CD2AP,ABCA7,0.883
CD2AP,CLU,0.8
CD2AP,SORL1,0.747
CD2AP,SYNJ1,0.789
CLU,ABCA7,0.81
CLU,SORL1,0.862
DNM1,EPS15,0.731
DNM1,ITSN1,0.979
DNM1,SH3GL2,0.95
DNM1,SYNJ1,0.874
ITSN1,EPS15,0.997
MAPT,BACE1,0.77
MAPT,PSEN1,0.95
MAPT,PSEN2,0.883
PICALM,ABCA7,0.872
PICALM,APOE,0.773
PICALM,APP,0.82
PICALM,CD2AP,0.865
PICALM,CLU,0.923
PICALM,EPS15,0.946
PICALM,ITSN1,0.763
PICALM,MAPT,0.744
PICALM,PSEN1,0.765
PICALM,PSEN2,0.732
PICALM,SH3GL2,0.727
PICALM,SORL1,0.838
PICALM,SYNJ1,0.753
PSEN1,PSEN2,0.999
SH3GL2,EPS15,0.874
SH3GL2,SYNJ1,0.998
SORL1,BACE1,0.737
SORL1,PSEN1,0.784
SORL1,PSEN2,0.778
SYNJ1,EPS15,0.943
SYNJ1,ITSN1,0.961
TREM2,ABCA7,0.775
TREM2,CLU,0.985
TREM2,MAPT,0.733
TREM2,PSEN1,0.853
TREM2,PSEN2,0.752
TREM2,SORL1,0.727
